occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,submergedTime,day,442,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,lowerLimitFilterSize,micrometer,38,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,sampleAccessionNumber,,SAMEA115160546,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,NCBIID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,NCBIScientificName,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,NCBITaxonRank,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,fieldReplicateID,,no replicate,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,technicalReplicateID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,originalScientificName,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,originalTaxonRank,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_1:688d5e22286ab575831dfbbf494c633e58aa3e6e,originalScientificNameConfidenceLevel,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,submergedTime,day,442,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,lowerLimitFilterSize,micrometer,38,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,sampleAccessionNumber,,SAMEA115160546,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,NCBIID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,NCBIScientificName,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,NCBITaxonRank,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,fieldReplicateID,,no replicate,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,technicalReplicateID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,originalScientificName,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,originalTaxonRank,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_2:511c7007a6238c914707d00bf365854f4f131f2a,originalScientificNameConfidenceLevel,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,submergedTime,day,442,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,lowerLimitFilterSize,micrometer,38,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,sampleAccessionNumber,,SAMEA115160546,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,NCBIID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,NCBIScientificName,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,NCBITaxonRank,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,fieldReplicateID,,no replicate,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,technicalReplicateID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,originalScientificName,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,originalTaxonRank,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_3:71edd7e83e90fa0a4e77e6ac446429f3dc04d750,originalScientificNameConfidenceLevel,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_4:260d20041453d226d2dbfd84fb50489f70d1bafd,submergedTime,day,442,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:ASV_4:260d20041453d226d2dbfd84fb50489f70d1bafd,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
