occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,sampleAccessionNumber,,SAMEA10020970,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,NCBIID,,2836,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,NCBIScientificName,,Bacillariophyta,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,NCBITaxonRank,,phylum,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu410,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,sampleAccessionNumber,,SAMEA10020970,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,NCBIID,,29918,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,NCBIScientificName,,Davidiella_tassiana,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,NCBITaxonRank,,species,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu259,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,sampleAccessionNumber,,SAMEA10020970,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,NCBIID,,87110,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,NCBIScientificName,,Aplanochytrium,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,NCBITaxonRank,,genus,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu25,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,sampleAccessionNumber,,SAMEA10020970,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,NCBIID,,31257,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,NCBIScientificName,,Stylochus,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,NCBITaxonRank,,genus,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu176,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,sampleAccessionNumber,,SAMEA10020970,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,NCBIID,,4751,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,NCBIScientificName,,Fungi,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,NCBITaxonRank,,kingdom,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu229,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu350,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu350,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:Otu350,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
