occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,NCBIID,,356930,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,NCBIScientificName,,Circeis,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,NCBITaxonRank,,genus,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu4,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,NCBIID,,10205,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,NCBIScientificName,,Bryozoa,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,NCBITaxonRank,,phylum,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu20,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,NCBIID,,646313,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,NCBIScientificName,,Favosipora,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,NCBITaxonRank,,genus,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu7,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,NCBIID,,6657,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,NCBIScientificName,,Crustacea,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,NCBITaxonRank,,subphylum,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu24,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,NCBIID,,187724,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,NCBIScientificName,,Oerstedia,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,NCBITaxonRank,,genus,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu311,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,NCBIID,,6657,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,NCBIScientificName,,Crustacea,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,NCBITaxonRank,,subphylum,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu317,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,NCBIID,,6657,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,NCBIScientificName,,Crustacea,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,NCBITaxonRank,,subphylum,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu29,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,NCBIID,,2836,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,NCBIScientificName,,Bacillariophyta,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,NCBITaxonRank,,phylum,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu107,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,NCBIID,,28000,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,NCBIScientificName,,Perkinsus,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,NCBITaxonRank,,genus,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu1513,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,NCBIID,,2759,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,NCBIScientificName,,Eukaryota,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,NCBITaxonRank,,superkingdom,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu167,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,sampleAccessionNumber,,SAMEA10020967,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,NCBIID,,80999,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,NCBIScientificName,,Homoscleromorpha,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,NCBITaxonRank,,class,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:Otu71,fieldReplicateID,,no replicate,,,
