occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,sampleAccessionNumber,,SAMEA10020971,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,NCBIID,,395009,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,NCBIScientificName,,Paradoxurus jerdoni,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,NCBITaxonRank,,species,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,originalScientificName,,Paradoxurus_jerdoni,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,originalTaxonRank,,species,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,originalScientificNameConfidenceLevel,,0.03,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,sampleAccessionNumber,,SAMEA10020971,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,NCBIID,,174156,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,NCBIScientificName,,Narceus annularus,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,NCBITaxonRank,,species,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,originalScientificName,,Narceus_annularus,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,originalTaxonRank,,species,,,
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,originalScientificNameConfidenceLevel,,0.01,,,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,submergedTime,day,141,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,preservativeUsed,,Frozen,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,sampleAccessionNumber,,SAMEA10021046,,,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,NCBIID,,257540,,,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,NCBIScientificName,,Gobiusculus flavescens,,,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,NCBITaxonRank,,species,,,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
