occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,sampleAccessionNumber,,SAMEA10020978,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,NCBIID,,45543,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,NCBIScientificName,,Candida diddensiae,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,NCBITaxonRank,,species,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,sampleAccessionNumber,,SAMEA10020978,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,NCBIID,,29918,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,NCBIScientificName,,Mycosphaerella tassiana,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,NCBITaxonRank,,species,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,sampleAccessionNumber,,SAMEA10020978,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,NCBIID,,5125,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,NCBIScientificName,,Hypocreales,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,NCBITaxonRank,,order,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,sampleAccessionNumber,,SAMEA10020978,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,NCBIID,,4751,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,NCBIScientificName,,Fungi,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,NCBITaxonRank,,kingdom,,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,NCBIID,,55193,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,NCBIScientificName,,Malassezia,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,NCBITaxonRank,,genus,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,NCBIID,,5598,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,NCBIScientificName,,Alternaria,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,NCBITaxonRank,,genus,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,NCBIID,,4890,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,NCBIScientificName,,Ascomycota,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,NCBITaxonRank,,phylum,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu545,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,NCBIID,,147541,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,NCBIScientificName,,Dothideomycetes,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,NCBITaxonRank,,class,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu307,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu374,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
