occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,submergedTime,day,621,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,sampleAccessionNumber,,SAMEA115159800,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,NCBIID,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,NCBIScientificName,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,NCBITaxonRank,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,fieldReplicateID,,no replicate,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,technicalReplicateID,,ARMS_Eilat_Katza1_20181024_20200706_MF500,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,originalScientificName,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,originalTaxonRank,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,originalScientificNameConfidenceLevel,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,submergedTime,day,621,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,sampleAccessionNumber,,SAMEA115159800,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,NCBIID,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,NCBIScientificName,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,NCBITaxonRank,,,,,
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,fieldReplicateID,,no replicate,,,
