occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,447,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Porifera;Demospongiae;Haploscleridag;Chalinidae;Haliclona;Haliclona,no match,no match,no match,ASV_12:94140287541515e11318acb6cf7cddfdf6e686e6
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,879,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Eunicidag;Onuphidae;Heptaceras;Heptaceras,no match,no match,no match,ASV_13:f9ca396b96f82f1d43fb2237bae94a2a63e44c7b
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_16:392e5eae7f44c8b08e038a20f32bb177c490fa65,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,408,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Basidiomycota;Agaricomycetes;Polyporalesg;Polyporaceae;Ganoderma;Ganoderma,no match,no match,no match,ASV_16:392e5eae7f44c8b08e038a20f32bb177c490fa65
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_20:571d9aed749a1563682d5d75efab347795ea82a3,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,298,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Mollusca;Gastropoda;Neogastropodag;Muricidae;Pascula;Pascula,no match,no match,no match,ASV_20:571d9aed749a1563682d5d75efab347795ea82a3
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_34:d1972214887c573407df601b3aed64042f19f5fa,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,383,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Actinopteri;Lophiiformesg;Diceratiidae;Diceratias;Diceratias,no match,no match,no match,ASV_34:d1972214887c573407df601b3aed64042f19f5fa
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_49:2d16dca9aca3913823f591c6a1de5fd931a3aa7f,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,79,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Terebellidag;Terebellidae;Neoamphitrite;Neoamphitrite,no match,no match,no match,ASV_49:2d16dca9aca3913823f591c6a1de5fd931a3aa7f
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_60:737a8e63ea6988a7ca6788df32fffe32a51096c9,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,55,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Ectocarpales;Phaeophyceae,no match,no match,no match,ASV_60:737a8e63ea6988a7ca6788df32fffe32a51096c9
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_62:9ec372cd5c926ad771fe5ebd29455a8744774193,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,140,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Hymenopterag;Braconidae;Phanerotoma;Phanerotoma,no match,no match,no match,ASV_62:9ec372cd5c926ad771fe5ebd29455a8744774193
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_74:003e650d50e2e13a30f73b770632cf86f0f266ee,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,35,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Orbiniidaeg;Orbiniidae;Protoaricia;Protoaricia,no match,no match,no match,ASV_74:003e650d50e2e13a30f73b770632cf86f0f266ee
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2:ASV_78:121ad138fa2c42249de948cbbce721134f7cc20d,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Eilat_Katza1_20181024_20200706,ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,2018-10-24/2020-07-06,2,DNA sequence reads,3170,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541474,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Gulf of Aqaba (http://marineregions.org/mrgid/4263),29.52,34.934444,IL,Eilat_Katza1,10.0,10.0,Industrial port; industrial; 9.8 - Coral Reef,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Saprolegniales;Oomycota,no match,no match,no match,ASV_78:121ad138fa2c42249de948cbbce721134f7cc20d
