occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,submergedTime,day,442,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,sampleAccessionNumber,,SAMEA6663953,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,NCBIID,,85417,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,NCBIScientificName,,Gobius niger,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,NCBITaxonRank,,species,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,fieldReplicateID,,no replicate,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,technicalReplicateID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,originalScientificName,,Gobius_niger,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,originalTaxonRank,,species,,,
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO_r1:ASV_35:582cb0848b3918dcf9948bb11161d53b21660ee2,originalScientificNameConfidenceLevel,,1.0,,,
