occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,submergedTime,day,37,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,preservativeUsed,,EtOH,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/702
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,sampleAccessionNumber,,SAMEA6673915,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,NCBIID,,7713,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,NCBIScientificName,,Ascidiacea,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,NCBITaxonRank,,class,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu2,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,submergedTime,day,37,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,preservativeUsed,,EtOH,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/702
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,sampleAccessionNumber,,SAMEA6673915,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,NCBIID,,182496,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,NCBIScientificName,,Propontocypris,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,NCBITaxonRank,,genus,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu21,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,submergedTime,day,37,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,preservativeUsed,,EtOH,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/702
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,sampleAccessionNumber,,SAMEA6673915,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,NCBIID,,6546,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,NCBIScientificName,,Mytiloida,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,NCBITaxonRank,,order,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu37,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu59,submergedTime,day,37,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu59,preservativeUsed,,EtOH,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/702
