occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,submergedTime,day,37,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,preservativeUsed,,EtOH,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/702
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,sampleAccessionNumber,,SAMEA6673917,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,NCBIID,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,NCBIScientificName,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,NCBITaxonRank,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,originalScientificName,,,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,originalTaxonRank,,,,,
