occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,2018-07-12/2018-08-18,134,DNA sequence reads,451,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4018736,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Hydrozoa;Anthoathecatag;Tubulariidae;Ectopleura;Ectopleura,no match,no match,no match,ASV_112:b8adf538dd8a745a51b1ceb7ff2082c52edb527f
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_174:9bbc1d38d35b9654d68beebc5f5bc096bac16403,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,2018-07-12/2018-08-18,8,DNA sequence reads,451,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4018736,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Malacostraca;Amphipodag;Corophiidae;Monocorophium;Monocorophium,no match,no match,no match,ASV_174:9bbc1d38d35b9654d68beebc5f5bc096bac16403
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_652:001c05382de236606963743617da520b7201a2db,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,2018-07-12/2018-08-18,40,DNA sequence reads,451,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4018736,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Coleopterag;Rhagophthalmidae;Rhagophthalmus;Rhagophthalmus,no match,no match,no match,ASV_652:001c05382de236606963743617da520b7201a2db
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_987:0168bdd13d2602c0ec01de8988c56ca67d2dcc86,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,2018-07-12/2018-08-18,250,DNA sequence reads,451,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4018736,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Mammalia;Rodentiag;Cricetidae;Peromyscus;Peromyscus,no match,no match,no match,ASV_987:0168bdd13d2602c0ec01de8988c56ca67d2dcc86
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_3051:0f16000c9551b68eb1f27fdbfb3ba11702ce3ce3,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,2018-07-12/2018-08-18,15,DNA sequence reads,451,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4018736,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Actinopteri;Tetraodontiformesg;Tetraodontidae;Torquigener;Torquigener,no match,no match,no match,ASV_3051:0f16000c9551b68eb1f27fdbfb3ba11702ce3ce3
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_8717:614d5656d857f5dd9baf9f3041bf7d7e7d2bd821,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,451,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4018736,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Hydrozoa;Anthoathecatag;Tubulariidae;Ectopleura;Ectopleura,no match,no match,no match,ASV_8717:614d5656d857f5dd9baf9f3041bf7d7e7d2bd821
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:ASV_14465:d4e9740a764667a2286feb0188a099bd55070af7,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,451,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4018736,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Hydrozoa;Anthoathecatag;Tubulariidae;Ectopleura;Ectopleura,no match,no match,no match,ASV_14465:d4e9740a764667a2286feb0188a099bd55070af7
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_1:347fbd798f73ffc3b4ff2fd4672284a895dfd832,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,69,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Mammalia;Carnivorag;Viverridae;Paradoxurus;Paradoxurus,no match,no match,no match,ASV_1:347fbd798f73ffc3b4ff2fd4672284a895dfd832
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_6:41e93128c4dc2a7fa112481390cd84c75240758d,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,6028,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Sabellidag;Sabellariidae;Sabellaria;Sabellaria,no match,no match,no match,ASV_6:41e93128c4dc2a7fa112481390cd84c75240758d
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_14:03ba5d86ee9ad0c687cb132a06a325e151631cdf,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,1459,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Mammalia;Diprotodontiag;Potoroidae;Hypsiprymnodon;Hypsiprymnodon,no match,no match,no match,ASV_14:03ba5d86ee9ad0c687cb132a06a325e151631cdf
