occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,sampleAccessionNumber,,SAMEA7685912,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,NCBIID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,NCBIScientificName,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,NCBITaxonRank,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500_r1:ASV_3:db1080e8ce4332d8444e1e822093d53aca10fbcf,originalScientificName,,,,,
