occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,lowerLimitFilterSize,micrometer,40,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,sampleAccessionNumber,,SAMEA10020968,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,NCBIID,,478420,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,NCBIScientificName,,Sagartiogeton laceratus,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,NCBITaxonRank,,species,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,fieldReplicateID,,no replicate,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,technicalReplicateID,,,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,originalScientificName,,Sagartiogeton_laceratus,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,originalTaxonRank,,species,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_1:5bf628ac4fba228a03d81385a0527c21a50fa83c,originalScientificNameConfidenceLevel,,0.46,,,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_47:640284d62fb77097c0cfb3d89cbf04360380666b,submergedTime,day,161,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40_r1:ASV_47:640284d62fb77097c0cfb3d89cbf04360380666b,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
