occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId,taxonConceptID,catalogNumber
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu17,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,25,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;NA;NA;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1486561,Opisthokonta,Subkingdom,Otu17,NCBI:33154,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu684,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,28,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Harmothoe;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:129491,Harmothoe,Genus,Otu684,NCBI:46594,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu318,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,24,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,uncertain classification (not marine),Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;NA;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:2,Animalia,Kingdom,Otu318,NCBI:33208,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu948,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,13,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Holostichidae;Anteholosticha;NA;NA;NA,urn:lsid:marinespecies.org:taxname:425675,Anteholosticha,Genus,Otu948,NCBI:584654,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu370,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,3,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Opalinopsidae;Chromidina;NA;NA;NA,urn:lsid:marinespecies.org:taxname:172359,Chromidina,Genus,Otu370,NCBI:1825902,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu190,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,2,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:425510,Strombidiida,Order,Otu190,NCBI:60004,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu191,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,2,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Axinella;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:131780,Pseudaxinella,Genus,Otu191,NCBI:12958,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu47,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,35,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Hydrozoa;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1337,Hydrozoa,Class,Otu47,NCBI:6074,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu184,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,71,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Stenothoe;NA;NA;NA,urn:lsid:marinespecies.org:taxname:101770,Stenothoe,Genus,Otu184,NCBI:317524,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu986,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,12,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA,,Eukaryota,domain,Otu986,NCBI:2759,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1:Otu489,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,SAMEA115159712,2021-02-25/2021-08-19,40,DNA sequence reads,7029,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR12541288,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.64971,2.789374,BE,BelgiumCoast_AJJBC89,20.815624,20.815624,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Autolytus;rubrolineatus;NA;NA;NA;Autolytus rubrolineatus,urn:lsid:marinespecies.org:taxname:238197,Myrianida irregularis,Species,Otu489,NCBI:884652,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1
