occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_9:f5c6ec8e337e84a425219e81c94ef98da876bcc8,submergedTime,day,175,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_9:f5c6ec8e337e84a425219e81c94ef98da876bcc8,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_9:f5c6ec8e337e84a425219e81c94ef98da876bcc8,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_9:f5c6ec8e337e84a425219e81c94ef98da876bcc8,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_9:f5c6ec8e337e84a425219e81c94ef98da876bcc8,originalScientificName,,Rhodotorula taiwanensis,,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_9:f5c6ec8e337e84a425219e81c94ef98da876bcc8,originalTaxonRank,,species,,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_9:f5c6ec8e337e84a425219e81c94ef98da876bcc8,originalScientificNameConfidenceLevel,,0.99,,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_87:4988eede48e8211cfe3a1b69abf792af40c24297,submergedTime,day,175,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_87:4988eede48e8211cfe3a1b69abf792af40c24297,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_87:4988eede48e8211cfe3a1b69abf792af40c24297,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_87:4988eede48e8211cfe3a1b69abf792af40c24297,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_87:4988eede48e8211cfe3a1b69abf792af40c24297,originalScientificName,,Monocorophium acherusicum,,,
ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1:ASV_87:4988eede48e8211cfe3a1b69abf792af40c24297,originalTaxonRank,,species,,,
