occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,submergedTime,day,535,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,sampleAccessionNumber,,SAMEA14201108,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,NCBIID,,6657,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,NCBIScientificName,,Crustacea,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,NCBITaxonRank,,subphylum,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,fieldReplicateID,,ARMS_Bodo_GStra_20190621_20201207,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,technicalReplicateID,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu56,submergedTime,day,535,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu56,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu56,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu56,sampleAccessionNumber,,SAMEA14201108,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu56,NCBIID,,216305,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu56,NCBIScientificName,,Heterobranchia,,,
