occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu23,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,3037,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu23
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu56,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,181,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Gastropoda;Heterobranchia;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:14712,Heterobranchia,Subclass,Otu56
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu1,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,1294,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Ascidiacea;Chelyosoma;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:103494,Chelyosoma,Genus,Otu1
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu92,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,20,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paramenophia;NA;NA;NA,urn:lsid:marinespecies.org:taxname:150175,Paramenophia,Genus,Otu92
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu318,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,12,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:146213,Syndiniales,Order,Otu318
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu1037,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,2,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:437293,Pucciniomycotina,Subphylum (Subdivision),Otu1037
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu558,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,2,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Thraustochytrida;Thraustochytriaceae;LAB17;NA;NA;NA,urn:lsid:marinespecies.org:taxname:22156,Thraustochytriaceae,Family,Otu558
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu777,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,6,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;LAB1;LAB8;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:449154,Labyrinthulea,Class,Otu777
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu775,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,17,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cancerillidae;NA;NA;NA,urn:lsid:marinespecies.org:taxname:135515,Cancerillidae,Family,Otu775
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu778,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,6,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:731848,Chromadorea,Class,Otu778
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:Otu779,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Bodo_GStraB_20190621_20201207,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,2019-06-21/2020-12-07,6,DNA sequence reads,25192,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR9632075,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2%,Vestfjorden (http://marineregions.org/mrgid/18664),67.24035,14.711733,NO,Bodo_GStraB,2.0,2.0,Marine Protected Area; protected; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:146203,Dinoflagellata,Infraphylum,Otu779
