occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,submergedTime,day,37,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,preservativeUsed,,EtOH,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/702
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,sampleAccessionNumber,,SAMEA6673916,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,NCBIID,,39397,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,NCBIScientificName,,Candida sake,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,NCBITaxonRank,,species,,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH_r1:Otu379,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,submergedTime,day,122,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,sampleAccessionNumber,,SAMEA6663718,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,NCBIID,,887075,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,NCBIScientificName,,Cladosporium delicatulum,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,NCBITaxonRank,,species,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu25,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,submergedTime,day,122,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,sampleAccessionNumber,,SAMEA6663718,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,NCBIID,,1344023,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,NCBIScientificName,,Micronematobotrys verrucosus,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,NCBITaxonRank,,species,,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu630,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu37,submergedTime,day,122,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu37,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu37,lowerLimitFilterSize,micrometer,500,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:Otu37,sampleAccessionNumber,,SAMEA6663718,,,
