occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId,taxonConceptID,catalogNumber
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu793,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,5,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Cnidaria;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1267,Cnidaria,Phylum,Otu793,NCBI:6073,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu1030,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,3,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu1030,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu1695,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,4,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu1695,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu493,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,5,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:146213,Syndiniales,Order,Otu493,NCBI:88547,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu1205,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,15,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:210,Mytilida,Order,Otu1205,NCBI:6546,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu545,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,2,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Prolecithophora;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:2854,Prolecithophora,Order,Otu545,NCBI:79788,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu760,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,7,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu760,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu160,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,191,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu160,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu1687,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,2,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:148898,Bacillariophyta,Phylum,Otu1687,NCBI:2836,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu2246,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,2,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:210,Mytilida,Order,Otu2246,NCBI:6546,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
