occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,submergedTime,day,108,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,originalScientificName,,Balanus balanus,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,originalTaxonRank,,species,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,originalScientificNameConfidenceLevel,,0.91,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,submergedTime,day,108,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,originalScientificName,,Tokunagaia parexcellens,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,originalTaxonRank,,species,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,originalScientificNameConfidenceLevel,,0.04,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,submergedTime,day,108,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,originalScientificName,,Alitta virens,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,originalTaxonRank,,species,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,originalScientificNameConfidenceLevel,,1.0,,,
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_4:c77101d4a16459a17d90f37d36ab36b13403a2a6,submergedTime,day,108,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
